track_id,A_source,C_source,B_source,A_ra,A_dec,C_ra,C_dec,B_ra,B_dec,total_motion_arcsec,motion_arcsec_per_day,C_prediction_error_arcsec,C_gate_arcsec,motion_significance_chi2,flux_A,flux_C,flux_B,A_class,C_class,B_class,A_counterpart_epochs,C_counterpart_epochs,B_counterpart_epochs,passes_fixed_4arcsec_C_gate,rejection_reason,rejection_detail
REJ-0364,18535,16033,19729,153.77054950351427,-42.12945020096374,153.76274351644466,-42.14028148374729,153.75863631900015,-42.147950663606935,73.80481814229732,2.393213534428427,2.653332199894429,3.0839911625027185,10416.459054599607,7.231361399291669,13.791923893204592,14.106749044807527,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0365,30471,28331,32188,153.74364912736456,-43.44499184543722,153.73773810346626,-43.45809377937998,153.73481402507502,-43.46704950778346,82.69604044852278,2.6815225377762184,2.654181471356819,3.403535710272774,11891.480537760719,6.242647487724102,3.892861229836505,2.84317173972786,STATIONARY,STATIONARY,STATIONARY,CB,B,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0366,31624,29506,33377,155.73909090673624,-44.44600825192049,155.73447731350782,-44.45944437368218,155.73166763482183,-44.470590869287165,90.52969427409518,2.9355385604597384,2.654641673324077,3.5709283022439493,14251.10715205029,2.481558516791063,3.8690552323321015,5.570066216533162,BLEND_FRAGMENT,STATIONARY,STATIONARY,,B,AC,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0367,31078,28812,32589,153.09223484525214,-43.213186864511265,153.0749868533734,-43.20770207894954,153.0606975107582,-43.20427975953607,88.74659161272227,2.8777192265749854,2.6576464520332244,3.4868386693984608,13695.2468072462,6.694909268863811,5.47959583213111,2.805399698936961,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0368,10241,7528,11128,157.67226952080546,-42.83991528767252,157.67057970532892,-42.8591571295807,157.66764419527055,-42.87303481598037,119.85348870159773,3.8863992694366383,2.660119883609791,4.250065894356655,23724.473480861452,3.107353160902393,5.692648883436871,3.0436830029377577,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0369,16227,13459,16996,153.60238510526216,-41.777916500954476,153.58695305626418,-41.76599894073155,153.57529300085616,-41.7559072685608,107.56271405890958,3.4878555298290252,2.6695033182027643,3.9802069601933416,20118.240796867933,5.882069509777378,2.4167161081622615,2.4660148950926586,STATIONARY,STATIONARY,STATIONARY,CB,A,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0370,23113,20755,24461,153.77590438835793,-42.66000392233864,153.76647066697674,-42.66605810823664,153.75905087934368,-42.66928142442662,55.73109491719735,1.8071504544215442,2.6820946499978726,2.987153926319444,4809.938487264867,2.979901588767309,1.9629529613204388,1.6769502230044668,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0371,4390,1340,4765,154.75345660018212,-40.78940533149083,154.7289870832289,-40.79100457062869,154.71218875611783,-40.79134200126128,112.6945746113959,3.6542625265555846,2.68553273706539,4.106013171920395,22083.73439539869,5.465471726473543,3.934957186110968,2.980601246519138,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0372,27100,24738,28416,155.62510469972545,-43.91296800442383,155.62728923402108,-43.91228104751548,155.6273034985539,-43.91236752149192,6.098432758499481,0.197749309378467,2.6859208557199867,2.3511190147933743,61.42309586614298,3.1712987306048452,3.086935156124242,3.4784377850037775,BLEND_FRAGMENT,STATIONARY,STATIONARY,,B,C,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0373,22403,19944,23583,153.76939768045344,-42.574213534475305,153.78359361173617,-42.58408790639934,153.79445304753142,-42.59011918284156,87.69051232385073,2.843474534816732,2.6891668487703195,3.4973024194941926,14117.514933250019,5.0525069117856365,3.798834140422386,4.22796919494422,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
