candidate_id,ra_epoch_A,dec_epoch_A,ra_epoch_B,dec_epoch_B,separation_arcsec,motion_arcsec_per_day,flux_A,flux_B,flux_ratio_B_over_A,source_A_id,source_B_id
MOTION-279,155.02842733296745,-43.52800747367457,155.04614613389165,-43.51363405314174,69.40393156756176,2.2505092831445195,41.34154945591423,21.983866713126066,0.5317620409116306,11542.0,10912.0
MOTION-280,156.5432492667626,-43.65950143337519,156.5523143202256,-43.64137377713011,69.40015542580969,2.250386837025466,6.560124392020137,12.7509479303283,1.9437052056267103,9570.0,9024.0
MOTION-281,155.74576473526017,-43.994145333499546,155.7385247153792,-44.01265688538128,69.22848349736563,2.2448201600391258,10.400045682529246,10.28688224616462,0.9891189481451291,12128.0,11644.0
MOTION-282,152.4069478797847,-42.994216486258246,152.4265313134044,-43.00703039241772,69.18406188370251,2.243379733658903,17.498681657951106,9.900218611162714,0.5657693993572493,14147.0,13474.0
MOTION-283,155.68597030863572,-42.76235564655303,155.6891904027452,-42.78140834748142,69.11556913653519,2.2411587706695353,7.255665183568921,12.256101576828254,1.6891768386147767,7685.0,7369.0
MOTION-284,153.7764384156271,-42.673214873503966,153.7736512117854,-42.69227857807702,69.02458374773725,2.2382084556442123,4.9124409003315,5.413889710911542,1.1020773217945896,10415.0,10002.0
MOTION-285,155.1807828734739,-40.73546011373866,155.1711598637938,-40.7177386414614,68.98795689010049,2.237020783976885,2.7962316688626423,1.4429831625061114,0.5160456404862334,1269.0,1152.0
MOTION-286,153.3498957018171,-42.36791138357278,153.3615602179274,-42.385013253125685,68.94031470542205,2.235475926553588,6.71344546718622,9.127420650085082,1.3595732168672283,10003.0,9583.0
MOTION-287,153.50924780586132,-43.12110375824935,153.50158852380895,-43.10279731987405,68.90871542959403,2.2344512805143015,3.031537636019812,1.5846264921874529,0.5227137784335583,12588.0,11955.0
MOTION-288,153.1031039363148,-42.16161414347661,153.12890012916546,-42.16237982066676,68.89230339618501,2.233919099804823,3.871950655175474,2.078190991263022,0.5367297200663421,9663.0,9160.0
MOTION-289,156.03019442698744,-43.449063715687785,156.0291568017038,-43.42994437253729,68.88305559048898,2.233619228139089,6.742847361486368,3.475161300775637,0.5153848388478995,9611.0,9076.0
MOTION-290,156.48351772654107,-41.61787313504348,156.46237197921414,-41.62864341270017,68.85903996648277,2.2328404914948417,0.3369105660241304,0.2364435221225228,0.7017990706340391,2280.0,2244.0
MOTION-291,155.8298459465119,-42.943099305178514,155.81955542278416,-42.960677472109474,68.84584840625861,2.2324127386561607,2.924671615566625,3.9600953763804014,1.3540307757297305,8111.0,7793.0
MOTION-292,153.49411708737478,-42.28227592239512,153.4906409825774,-42.3012218073817,68.83050425764858,2.2319151854468706,4.837116549077223,6.80079846147548,1.4059612565615913,9477.0,9070.0
MOTION-293,154.41510117723715,-43.05797884878108,154.42734996851914,-43.04109477680769,68.79597206415691,2.230795435884201,1.1126055458476678,1.4685472322289792,1.3199172318614751,10770.0,10198.0
MOTION-294,154.80230074741033,-43.40203507635839,154.77615359295,-43.40060070923372,68.58547019340297,2.223969649454654,94.48185483526406,90.01111490136341,0.9526814969742529,11440.0,10931.0
MOTION-295,157.44450708428948,-41.85389695981404,157.46874795911094,-41.84782659814087,68.57896509498617,2.223758713502697,0.7044733317056867,0.389234102097306,0.5525178662972006,1690.0,1556.0
MOTION-296,157.60714508001897,-42.74269344455807,157.6043923405885,-42.76162138883706,68.52804413504052,2.2221075376906643,1.6274710704310529,2.048810739908953,1.2588922636678903,4579.0,4409.0
MOTION-297,156.58693526927684,-43.99631447354318,156.59101450355058,-44.01510781945829,68.47561839006781,2.220407567342126,6.296878062997402,8.342277796031626,1.324827591160402,10741.0,10286.0
MOTION-298,156.28811749662378,-42.65746453032647,156.26235210270607,-42.658999431243686,68.43658569985143,2.219141883544479,1.5061052366576495,1.0042464432352374,0.6667837139082408,6353.0,6059.0
MOTION-299,156.75683424547316,-42.206049258832415,156.73132556962443,-42.20406826755394,68.39636681818111,2.2178377360053925,1.533199991443696,1.2402182281682108,0.8089083192600289,3962.0,3817.0
