source_a,source_b,ra_a,dec_a,ra_b,dec_b,separation_arcsec,flux_a,flux_b,brightness_change_percent
11856,11292,152.9367900037036,-42.6724248630739,152.93664084064827,-42.67229351381838,0.6160138807092544,14.146274983677955,13.205231634835028,-6.652234244906927
11859,11288,153.37793119264532,-42.87155540794937,153.378226875547,-42.87170961318677,0.9574792795201835,12.4020557316323,13.514571007301155,8.970410226679663
11862,11299,153.23861407864808,-42.81137474979029,153.23936044020007,-42.81162971873123,2.174333907821652,5.790700771424391,5.355376570020191,-7.517642830940474
11864,11300,153.8537689503701,-43.08929325817494,153.85038847879386,-43.088184690504974,9.742396042946869,50.94800845046917,43.63192008549449,-14.359910401772149
11869,11302,155.6970839116617,-43.904553951037244,155.69681435771716,-43.90463430406552,0.7566431676756871,4.099149850701232,3.835042621666882,-6.442975706027668
11871,11309,154.56553050413092,-43.410889529441434,154.56549406484882,-43.41053840918218,1.2676200650900538,19.705451920224913,20.440751945556617,3.7314547684999804
11872,11313,155.6452049329286,-43.88521762071238,155.64543286210497,-43.88528368183595,0.6374180635005656,6.237937480185801,5.758995738809063,-7.677886206747811
11875,11307,156.5864500537591,-44.288999127986486,156.58668671557976,-44.28914117785555,0.7958969346825896,3.9904767450092056,4.236013414937687,6.153066052460223
11876,11317,152.861889263958,-42.64493426677975,152.86248906668854,-42.64455537324097,2.0936223729294436,4.846874402320523,5.23889771178664,8.088167279070177
11877,11318,153.05965454844932,-42.73520865164274,153.05966453086512,-42.734718553491945,1.7645507763925197,20.587527961775905,22.221014641370726,7.934350751715575
11879,11310,154.73920384484268,-43.48888431584023,154.7385578035582,-43.488969043392075,1.7146951253609366,11.412277301227926,11.544859513814925,1.1617507101122957
11881,11311,155.34258403682082,-43.75393581184453,155.34263705120426,-43.75406848564572,0.49712207607766196,2.905058768815429,2.9057840035607385,0.02496454643515603
11883,11320,154.22091126429277,-43.258991794838295,154.22036347120937,-43.25921252889197,1.641356074913519,6.558391559015151,6.449978058066437,-1.6530501415349195
11885,11328,154.35198189541384,-43.3200849527097,154.35193090359428,-43.319736563360024,1.261292369756338,18.777138001035656,16.840526781937246,-10.313665580939947
11888,11321,154.63896869788405,-43.44539030054439,154.63865759559673,-43.44538034679757,0.8139199263108604,58.27856137062709,56.69333092891389,-2.7200919247676736
11891,11323,156.55116491091033,-44.27798900035364,156.55082142311264,-44.27843188372563,1.8236896884539169,24.30145622309933,24.658094103445784,1.4675576519873674
11893,11324,152.74367394108867,-42.59467274517249,152.74396701315396,-42.59479972509291,0.901230198546052,24.06113668779143,24.361007367565858,1.2462864230623936
11896,11334,156.292146115486,-44.17061659208254,156.29196465729308,-44.17102438822768,1.5410257619601897,3.0629746687851127,3.2204243597352535,5.140417665046871
11900,11337,153.5582963948349,-42.967430743835365,153.5580851808801,-42.9675025904864,0.6135739452003107,11.444007832366879,11.35981005060727,-0.7357368414365528
11905,11350,155.8239648909663,-43.9707341607315,155.8233700340962,-43.97055586616681,1.669531412884887,3.8717981603863354,4.351492989339435,12.389458568915547
11909,11347,153.31439800301686,-42.8571859987519,153.31473474536324,-42.85718060477084,0.8888701369322491,12.913533559626286,13.076571440412026,1.2625349989058974
11911,11348,154.5392699975835,-43.40889542766638,154.5391215449065,-43.40898874102185,0.5134027828357692,19.42742883508582,19.569148936665204,0.7294846002649545
11919,11355,154.93293949537016,-43.58465598293616,154.93278279252058,-43.584502268738056,0.6878950942471272,1.5224815174824842,1.486066615024889,-2.391812448259439
11920,11365,155.66041138977974,-43.90363996346527,155.66068831508812,-43.90359169293812,0.7390174482623023,3.5503251556142024,3.370337511789557,-5.069610132469897
11921,11366,155.7086516401316,-43.92480677311493,155.70861497704968,-43.9245323831121,0.9923678416123818,61.94001165131095,60.90113299779619,-1.6772335455199576
11923,11357,155.9648948459395,-44.0346952803095,155.96478844909046,-44.034597859890766,0.44590004028073255,2.9471905471432307,2.7727600209442635,-5.918535751549761
11927,11362,154.27337136596188,-43.29267140285238,154.27324693236463,-43.29273895193288,0.4067497859313752,7.472432183808441,7.427702896182651,-0.5985907469687215
11928,11364,155.57935995661742,-43.87040350221338,155.57882113581718,-43.87034825300398,1.4124618450875221,2.9480506225119583,2.6401738674188415,-10.44340123409356
11932,11370,153.52226614117228,-42.958012413171076,153.52231472267107,-42.95799691264375,0.13963133789026483,1.533128275151613,2.0211412178927364,31.831187947587946
11935,11372,154.73204518004675,-43.49822640136145,154.7322311449085,-43.4980573080085,0.7787168003217136,1.9102085648713327,2.0973053979725518,9.794576180942915
11939,11376,152.94640016763574,-42.697783176595685,152.94642692423074,-42.69782776285234,0.17542852543196932,5.8816105306820665,6.0960780005188955,3.6464071994912937
11940,11377,153.13058020122673,-42.78146059989335,153.130752112602,-42.78173684565642,1.0933076368538885,2.2063453506470125,2.194164881171383,-0.552065408620523
11941,11381,154.60174051001914,-43.44459141731829,154.60132875813494,-43.44452737713294,1.1006306216693518,17.459835440514485,17.490090974226085,0.17328647692402416
